number,pace
1,8:37
2,8:42
3,7:46
4,8:10
6,7:56
7,8:21
8,8:03
10,7:53
11,8:10
14,8:04
15,8:44
16,8:30
18,7:57
19,8:39
20,8:41
23,8:15
24,7:58
25,8:01
26,8:20
27,8:22
29,8:19
30,8:31
31,7:56
36,8:33
38,8:12
40,8:04
41,8:13
44,8:34
47,8:27
53,8:06
54,8:18
56,10:04
57,8:16
59,8:45
60,9:04
62,8:51
64,8:40
65,9:42
68,8:41
69,6:54
71,8:12
72,7:42
73,8:31
74,8:26
76,9:21
80,9:03
81,8:28
84,8:38
85,8:26
88,8:42
89,8:39
95,8:49
96,8:34
97,8:50
98,8:56
100,8:35
103,9:21
105,9:06
106,9:02
108,9:12
109,8:32
110,9:17
111,8:52
112,9:01
113,8:15
114,9:00
119,8:31
121,9:17
122,9:08
124,8:35
127,9:07
128,8:55
129,8:51
132,8:46
134,9:07
139,8:43
140,8:35
141,8:53
144,8:49
146,8:57
147,9:00
148,8:58
149,8:50
152,9:14
155,9:02
157,9:07
160,9:23
161,9:34
166,7:49
170,8:49
174,9:27
177,8:53
184,8:13
189,9:34
190,9:04
196,9:09
204,8:24
211,8:54
214,8:43
216,8:51
221,8:34
225,8:41
229,8:19
236,9:55
242,8:47
246,8:08
247,8:53
251,8:37
252,8:46
253,8:25
258,7:10
261,9:29
265,8:14
267,8:51
268,8:39
269,8:34
270,8:24
271,8:39
272,8:44
273,8:55
274,8:35
275,8:15
276,8:50
280,8:33
281,8:02
282,8:59
283,9:24
284,9:21
285,7:06
287,8:29
288,7:40
290,8:50
291,8:26
293,8:07
294,8:18
295,8:04
298,8:35
301,9:38
303,9:47
306,8:31
309,9:02
315,8:41
316,8:06
320,8:28
