number,date,distance,time,pace
0,29-Aug-16,1.29,11:10,8:39
1,30-Aug-16,3.01,22:13,7:23
2,1-Sep-16,3.12,27:48,8:55
3,1-Sep-16,4.99,35:49,7:11
4,9-Sep-16,3.33,30:01,9:01
5,11-Sep-16,6.61,59:19,8:59
6,13-Sep-16,4.04,35:12,8:43
7,15-Sep-16,3.01,26:01,8:38
8,20-Sep-16,2.29,16:02,7:00
9,21-Sep-16,3.56,32:06,9:01
10,23-Sep-16,5.58,51:47,9:17
11,25-Sep-16,8.22,1:10:20,8:34
12,27-Sep-16,5.02,42:33,8:28
13,28-Sep-16,3.06,27:44,9:03
14,30-Sep-16,1.27,11:30,9:04
15,1-Oct-16,3.18,23:21,7:20
16,2-Oct-16,6.67,1:01:18,9:12
17,4-Oct-16,4.66,44:28,9:33
18,6-Oct-16,4.57,38:42,8:28
19,6-Oct-16,2.58,18:53,7:19
20,8-Oct-16,4.21,34:04,8:06
21,10-Oct-16,9.24,1:20:10,8:41
22,14-Oct-16,4.05,36:33,9:02
23,17-Oct-16,10.01,1:25:18,8:31
24,18-Oct-16,3.3,32:18,9:47
25,19-Oct-16,3.11,30:01,9:38
26,23-Oct-16,10.09,1:26:36,8:35
27,25-Oct-16,4.17,33:41,8:04
28,30-Oct-16,12,1:39:33,8:18
29,1-Nov-16,5.11,41:28,8:07
30,6-Nov-16,11.12,1:33:43,8:26
31,8-Nov-16,5.67,50:06,8:50
32,13-Nov-16,12.99,1:39:29,7:40
33,22-Nov-16,4.15,35:15,8:29
34,11-Dec-16,3.17,22:31,7:06
35,31-Dec-16,4.55,42:35,9:21
36,2-Jan-17,5.7,53:38,9:24
37,11-Jan-17,5.28,47:26,8:59
38,12-Jan-17,3.5,28:05,8:02
39,17-Jan-17,3.45,29:31,8:33
40,19-Jan-17,5.68,46:19,8:10
41,23-Feb-17,3.58,31:39,8:50
42,24-Feb-17,4.04,33:19,8:15
43,25-Feb-17,7,1:00:05,8:35
44,25-Feb-17,1.56,13:52,8:55
45,27-Feb-17,3.5,30:37,8:44
46,1-Mar-17,3.5,30:16,8:39
47,3-Mar-17,4.5,37:50,8:24
48,5-Mar-17,7.39,1:03:15,8:34
49,19-Mar-17,3.08,26:38,8:39
50,20-Mar-17,7,1:02:01,8:51
51,5-Apr-17,5.01,41:15,8:14
52,13-Apr-17,2,18:59,9:29
53,15-Apr-17,3.15,22:35,7:10
54,19-Apr-17,1.8,15:10,8:25
55,25-Apr-17,3.55,31:06,8:46
56,27-Apr-17,4.5,38:50,8:37
57,30-Apr-17,6.5,57:44,8:53
58,2-May-17,3.79,30:47,8:08
59,7-May-17,7.5,1:05:49,8:47
60,12-May-17,3.62,35:54,9:55
61,12-May-17,16.88,2:05:56,7:28
62,21-May-17,7.43,1:01:47,8:19
63,23-May-17,5.51,47:47,8:41
64,26-May-17,3.01,25:48,8:34
65,28-May-17,9.06,1:20:10,8:51
66,30-May-17,2.93,25:34,8:43
67,1-Jun-17,6.01,53:33,8:54
68,7-Jun-17,3.54,29:48,8:24
69,9-Jun-17,5.2,47:36,9:09
70,12-Jun-17,3.41,30:57,9:04
71,13-Jun-17,5.04,48:12,9:34
72,15-Jun-17,5,41:06,8:13
73,20-Jun-17,5,44:21,8:53
74,21-Jun-17,3.12,29:28,9:27
75,23-Jun-17,5.52,48:42,8:49
76,25-Jun-17,6.26,48:55,7:49
77,27-Jun-17,5.03,48:07,9:34
78,28-Jun-17,8.09,1:15:54,9:23
79,30-Jun-17,6.03,54:59,9:07
80,2-Jul-17,14.03,2:06:41,9:02
81,4-Jul-17,6.59,1:00:56,9:14
82,6-Jul-17,5.24,46:16,8:50
83,7-Jul-17,4.24,37:59,8:58
84,9-Jul-17,10.23,1:32:04,9:00
85,11-Jul-17,6.14,54:55,8:57
