id	count
1001	 (D)
1011	33803000.00
1047	27726000.00
1051	17366000.00
1063	1733000.00
1065	 (D)
1085	 (D)
1087	12243000.00
1091	5350000.00
1101	16616000.00
1105	9650000.00
1119	 (D)
1003	115652000.00
1013	 (D)
1023	 (D)
1025	1273000.00
1035	7325000.00
1053	36149000.00
1097	76821000.00
1099	32057000.00
1129	4831000.00
1131	 (D)
1009	12428000.00
1015	10901000.00
1019	36030000.00
1029	3273000.00
1043	15920000.00
1049	24253000.00
1055	5404000.00
1071	35801000.00
1095	7445000.00
1115	9834000.00
1033	36371000.00
1059	7491000.00
1077	40243000.00
1079	56474000.00
1083	85219000.00
1089	63960000.00
1093	3184000.00
1103	13881000.00
1133	824000.00
1007	 (D)
1017	2026000.00
1021	10235000.00
1027	1025000.00
1037	 (D)
1057	 (D)
1073	1083000.00
1075	1557000.00
1081	 (D)
1107	6675000.00
1111	2135000.00
1117	9785000.00
1121	16999000.00
1123	3406000.00
1125	9342000.00
1127	3782000.00
1005	14760000.00
1031	36989000.00
1039	31116000.00
1041	5099000.00
1045	25451000.00
1061	47133000.00
1067	40145000.00
1069	63993000.00
1109	11553000.00
1113	16145000.00
2000	1647000.00
2000	14205000.00
2000	917000.00
2000	338000.00
2000	7749000.00
4001	13197000.00
4005	2358000.00
4007	343000.00
4015	20790000.00
4017	5836000.00
4025	10607000.00
4003	 (D)
4009	165860000.00
4011	2418000.00
4012	 (D)
4013	446895000.00
4019	74684000.00
4021	315577000.00
4023	692000.00
4027	 (D)
5029	16616000.00
5045	10067000.00
5051	4475000.00
5053	550000.00
5059	1152000.00
5105	4883000.00
5119	30152000.00
5125	1823000.00
5001	297151000.00
5035	214685000.00
5037	188405000.00
5077	171619000.00
5085	191210000.00
5095	 (D)
5107	247759000.00
5117	159632000.00
5123	189010000.00
5147	 (D)
5005	601000.00
5023	1195000.00
5049	1104000.00
5065	 (D)
5089	560000.00
5129	1012000.00
5135	1031000.00
5137	841000.00
5141	1067000.00
5021	242740000.00
5031	258784000.00
5055	167165000.00
5063	33891000.00
5067	183721000.00
5075	126179000.00
5093	314464000.00
5111	286746000.00
5121	57354000.00
5145	39106000.00
5007	5050000.00
5009	1329000.00
5015	1884000.00
5087	3145000.00
5101	1004000.00
5143	7042000.00
5011	 (D)
5013	390000.00
5019	2097000.00
5025	465000.00
5027	5082000.00
5039	776000.00
5099	1153000.00
5103	408000.00
5139	569000.00
5003	66742000.00
5017	197260000.00
5041	206473000.00
5043	63585000.00
5069	196405000.00
5079	117729000.00
5057	4551000.00
5061	1389000.00
5073	31628000.00
5081	17879000.00
5091	24502000.00
5097	886000.00
5109	600000.00
5133	810000.00
5033	22542000.00
5047	4267000.00
5071	4335000.00
5083	6303000.00
5113	1648000.00
5115	10396000.00
5127	1336000.00
5131	2414000.00
5149	6299000.00
6001	47557000.00
6013	75703000.00
6033	97477000.00
6041	8581000.00
6053	2935327000.00
6055	524203000.00
6069	126077000.00
6075	 (D)
6079	618023000.00
6081	73137000.00
6085	233397000.00
6087	548415000.00
6097	606237000.00
6035	 (D)
6049	70327000.00
6063	4459000.00
6015	16561000.00
6023	 (D)
6045	137167000.00
6007	526847000.00
6011	569922000.00
6021	509107000.00
6067	208842000.00
6095	242743000.00
6101	501917000.00
6103	170088000.00
6113	525503000.00
