County,Value
1001, (D)
1011,"33,803,000"
1047,"27,726,000"
1051,"17,366,000"
1063,"1,733,000"
1065, (D)
1085, (D)
1087,"12,243,000"
1091,"5,350,000"
1101,"16,616,000"
1105,"9,650,000"
1119, (D)
1003,"115,652,000"
1013, (D)
1023, (D)
1025,"1,273,000"
1035,"7,325,000"
1053,"36,149,000"
1097,"76,821,000"
1099,"32,057,000"
1129,"4,831,000"
1131, (D)
1009,"12,428,000"
1015,"10,901,000"
1019,"36,030,000"
1029,"3,273,000"
1043,"15,920,000"
1049,"24,253,000"
1055,"5,404,000"
1071,"35,801,000"
1095,"7,445,000"
1115,"9,834,000"
1033,"36,371,000"
1059,"7,491,000"
1077,"40,243,000"
1079,"56,474,000"
1083,"85,219,000"
1089,"63,960,000"
1093,"3,184,000"
1103,"13,881,000"
1133,"824,000"
1007, (D)
1017,"2,026,000"
1021,"10,235,000"
1027,"1,025,000"
1037, (D)
1057, (D)
1073,"1,083,000"
1075,"1,557,000"
1081, (D)
1107,"6,675,000"
1111,"2,135,000"
1117,"9,785,000"
1121,"16,999,000"
1123,"3,406,000"
1125,"9,342,000"
1127,"3,782,000"
1005,"14,760,000"
1031,"36,989,000"
1039,"31,116,000"
1041,"5,099,000"
1045,"25,451,000"
1061,"47,133,000"
1067,"40,145,000"
1069,"63,993,000"
1109,"11,553,000"
1113,"16,145,000"
2000,"1,647,000"
2000,"14,205,000"
2000,"917,000"
2000,"338,000"
2000,"7,749,000"
4001,"13,197,000"
4005,"2,358,000"
4007,"343,000"
4015,"20,790,000"
4017,"5,836,000"
4025,"10,607,000"
4003, (D)
4009,"165,860,000"
4011,"2,418,000"
4012, (D)
4013,"446,895,000"
4019,"74,684,000"
4021,"315,577,000"
4023,"692,000"
4027, (D)
5029,"16,616,000"
5045,"10,067,000"
5051,"4,475,000"
5053,"550,000"
5059,"1,152,000"
5105,"4,883,000"
5119,"30,152,000"
5125,"1,823,000"
5001,"297,151,000"
5035,"214,685,000"
5037,"188,405,000"
5077,"171,619,000"
5085,"191,210,000"
5095, (D)
5107,"247,759,000"
5117,"159,632,000"
5123,"189,010,000"
5147, (D)
5005,"601,000"
5023,"1,195,000"
5049,"1,104,000"
5065, (D)
5089,"560,000"
5129,"1,012,000"
5135,"1,031,000"
5137,"841,000"
5141,"1,067,000"
5021,"242,740,000"
5031,"258,784,000"
5055,"167,165,000"
5063,"33,891,000"
5067,"183,721,000"
5075,"126,179,000"
5093,"314,464,000"
5111,"286,746,000"
5121,"57,354,000"
5145,"39,106,000"
5007,"5,050,000"
5009,"1,329,000"
5015,"1,884,000"
5087,"3,145,000"
5101,"1,004,000"
5143,"7,042,000"
5011, (D)
5013,"390,000"
5019,"2,097,000"
5025,"465,000"
5027,"5,082,000"
5039,"776,000"
5099,"1,153,000"
5103,"408,000"
5139,"569,000"
5003,"66,742,000"
5017,"197,260,000"
5041,"206,473,000"
5043,"63,585,000"
5069,"196,405,000"
5079,"117,729,000"
5057,"4,551,000"
5061,"1,389,000"
5073,"31,628,000"
5081,"17,879,000"
5091,"24,502,000"
5097,"886,000"
5109,"600,000"
5133,"810,000"
5033,"22,542,000"
5047,"4,267,000"
5071,"4,335,000"
5083,"6,303,000"
5113,"1,648,000"
5115,"10,396,000"
5127,"1,336,000"
5131,"2,414,000"
5149,"6,299,000"
6001,"47,557,000"
6013,"75,703,000"
6033,"97,477,000"
6041,"8,581,000"
6053,"2,935,327,000"
6055,"524,203,000"
6069,"126,077,000"
6075, (D)
6079,"618,023,000"
6081,"73,137,000"
6085,"233,397,000"
6087,"548,415,000"
6097,"606,237,000"
6035, (D)
6049,"70,327,000"
6063,"4,459,000"
6015,"16,561,000"
6023, (D)
6045,"137,167,000"
6007,"526,847,000"
6011,"569,922,000"
6021,"509,107,000"
6067,"208,842,000"
6095,"242,743,000"
6101,"501,917,000"
6103,"170,088,000"
6113,"525,503,000"
6115,"154,440,000"
6019,"3,700,093,000"
6029,"3,231,921,000"
6031,"854,628,000"
6039,"1,239,924,000"
6047,"1,272,622,000"
6077,"1,658,533,000"
6099,"1,062,853,000"
6107,"1,671,142,000"
6003, (D)
6005,"21,767,000"
6009,"11,835,000"
6017,"24,340,000"
6027,"6,791,000"
6043,"2,608,000"
6051,"8,810,000"
6057,"5,807,000"
6061, (D)
6091, (D)
6109,"2,588,000"
6089,"24,014,000"
6093,"190,530,000"
6105, (D)
6025,"1,310,273,000"
6037,"174,019,000"
6059,"156,926,000"
6065,"744,651,000"
6071,"66,845,000"
6073,"648,221,000"
6083,"1,129,013,000"
6111,"1,430,264,000"
8001,"102,519,000"
8005, (D)
8017,"59,270,000"
8031, (D)
8035,"4,570,000"
8041,"20,684,000"
8039,"8,953,000"
8061,"36,987,000"
8063,"140,583,000"
8073,"40,405,000"
8095,"117,490,000"
8121,"98,527,000"
8125,"311,704,000"
8013, (D)
8014,"1,397,000"
8059,"7,371,000"
8069,"57,381,000"
8075,"117,927,000"
8087,"106,243,000"
8115,"57,477,000"
8123,"374,054,000"
